AFRO-CENTRIC                     ,The New Real Book Eb II.pdf,8
AFTER THE RAIN                   ,The New Real Book Eb II.pdf,9
AFTER YOU'VE GONE                ,The New Real Book Eb II.pdf,10
AIN'T MISBEHAVIN'                ,The New Real Book Eb II.pdf,11
ALONG CAME BETTY                 ,The New Real Book Eb II.pdf,12
ASA                              ,The New Real Book Eb II.pdf,14
AVANCE                           ,The New Real Book Eb II.pdf,16
BABY ITS COLD OUTSIDE            ,The New Real Book Eb II.pdf,17
BAJA BAJO                        ,The New Real Book Eb II.pdf,19
BASS BLUES                       ,The New Real Book Eb II.pdf,21
BEAUTY AND THE BEAST             ,The New Real Book Eb II.pdf,22
BESSIE'S BLUES                   ,The New Real Book Eb II.pdf,23
BLACK AND BLUE                   ,The New Real Book Eb II.pdf,24
BLACK COFFEE                     ,The New Real Book Eb II.pdf,25
BLUES FOR ALICE                  ,The New Real Book Eb II.pdf,27
BLUES FOR YNA YNA                ,The New Real Book Eb II.pdf,28
BODY AND SOUL                    ,The New Real Book Eb II.pdf,30
BOLIVIA                          ,The New Real Book Eb II.pdf,3
THE BOY NEXT DOOR                ,The New Real Book Eb II.pdf,33
BYE BYE BLACKBIRD                ,The New Real Book Eb II.pdf,34
CAFE                             ,The New Real Book Eb II.pdf,36
CAPIM                            ,The New Real Book Eb II.pdf,38
CASA FORTE                       ,The New Real Book Eb II.pdf,40
CENTRAL PARK WEST                ,The New Real Book Eb II.pdf,42
CHARMED CIRCLE                   ,The New Real Book Eb II.pdf,44
CHEROKEE                         ,The New Real Book Eb II.pdf,46
A CHILD IS BORN                  ,The New Real Book Eb II.pdf,47
CHOICES                          ,The New Real Book Eb II.pdf,48
CHROMAZONE                       ,The New Real Book Eb II.pdf,50
CLOCKWISE                        ,The New Real Book Eb II.pdf,52
COLD DUCK TIME                   ,The New Real Book Eb II.pdf,53
CRISS CROSS                      ,The New Real Book Eb II.pdf,54
DAY BY DAY                       ,The New Real Book Eb II.pdf,56
DEAR LORD                        ,The New Real Book Eb II.pdf,57
DEE SONG                         ,The New Real Book Eb II.pdf,59
DELGADO                          ,The New Real Book Eb II.pdf,61
DETOUR AHEAD                     ,The New Real Book Eb II.pdf,62
DEVIL MAY CARE                   ,The New Real Book Eb II.pdf,63
DJANGO                           ,The New Real Book Eb II.pdf,65
DOCE PRESENCA                    ,The New Real Book Eb II.pdf,67
DOGS IN THE WINE SHOP            ,The New Real Book Eb II.pdf,69
DON'T FORGET THE POET            ,The New Real Book Eb II.pdf,71
THE DUKE                         ,The New Real Book Eb II.pdf,73
ECAROH                           ,The New Real Book Eb II.pdf,77
EQUINOX                          ,The New Real Book Eb II.pdf,79
ESCHER SKETCH                    ,The New Real Book Eb II.pdf,80
ETERNAL CHILD                    ,The New Real Book Eb II.pdf,83
EXACTLY LIKE YOU                 ,The New Real Book Eb II.pdf,85
EXPRESSION                       ,The New Real Book Eb II.pdf,96
FALLING GRACE                    ,The New Real Book Eb II.pdf,87
FILTHY McNASTY                   ,The New Real Book Eb II.pdf,88
FIVE HUNDRED MILES HIGH          ,The New Real Book Eb II.pdf,90
FLAMINGO                         ,The New Real Book Eb II.pdf,91
FLY ME TO THE MOON               ,The New Real Book Eb II.pdf,92
FOREVER                          ,The New Real Book Eb II.pdf,93
FREEDOM JAZZ DANCE               ,The New Real Book Eb II.pdf,95
FRIDAY NIGHT AT THE CADILLAC CLUB,The New Real Book Eb II.pdf,96
FRIENDS                          ,The New Real Book Eb II.pdf,98
GERALDINE                        ,The New Real Book Eb II.pdf,99
GERTRUDE'S BOUNCE,The New Real Book Eb II.pdf,101
GET HAPPY      ,The New Real Book Eb II.pdf,103
GIANT STEPS      ,The New Real Book Eb II.pdf,105
GOT A MATCH    ,The New Real Book Eb II.pdf,106
GREGORY IS HERE,The New Real Book Eb II.pdf,107
GROWING          ,The New Real Book Eb II.pdf,109
HARLEM NOCTURNE,The New Real Book Eb II.pdf,110
HI-FLY         ,The New Real Book Eb II.pdf,112
HONEYSUCKLE ROSE ,The New Real Book Eb II.pdf,116
HORACESCOPE,The New Real Book Eb II.pdf,117
I BELIEVE IN YOU,The New Real Book Eb II.pdf,119
I HADN'T ANYONE TILL YOU,The New Real Book Eb II.pdf,121
I THOUGHT ABOUT YOU,The New Real Book Eb II.pdf,122
I'LL BE AROUND (Chaka Kahn),The New Real Book Eb II.pdf,124
I'LL BE AROUND,The New Real Book Eb II.pdf,126
I'LL GET BY,The New Real Book Eb II.pdf,127
ILL WIND,The New Real Book Eb II.pdf,128
ILLUMINADOS,The New Real Book Eb II.pdf,129
I'M GLAD THERE IS YOU,The New Real Book Eb II.pdf,130
IMPRESSIONS,The New Real Book Eb II.pdf,131
IN THE WEE SMALL HOURS OF THE MORNING,The New Real Book Eb II.pdf,132
IN YOUR OWN SWEET WAY,The New Real Book Eb II.pdf,133
ISFAHAN,The New Real Book Eb II.pdf,135
IT DON'T MEAN A THING (If It Ain't Got That Swing),The New Real Book Eb II.pdf,136
IT'S ONLY A PAPER MOON,The New Real Book Eb II.pdf,137
IT'S THE TALK OF THE TOWN,The New Real Book Eb II.pdf,138
IT'S YOU                 ,The New Real Book Eb II.pdf,140
