Chain of Fools (in C),zAretha-Franklin-Book-the-Ver.pdf,21,6
Day Dreaming,zAretha-Franklin-Book-the-Ver.pdf,45,4
Do Right Woman Do Right Man,zAretha-Franklin-Book-the-Ver.pdf,8,4
Don't Play that Song (You Lied),zAretha-Franklin-Book-the-Ver.pdf,49,3
Dr Feelgood,zAretha-Franklin-Book-the-Ver.pdf,12,3
I Never Loved a Man,zAretha-Franklin-Book-the-Ver.pdf,3,2
I Say a Little Prayer,zAretha-Franklin-Book-the-Ver.pdf,38,3
I'm in Love,zAretha-Franklin-Book-the-Ver.pdf,55,3
Respect,zAretha-Franklin-Book-the-Ver.pdf,5,3
Rock Steady,zAretha-Franklin-Book-the-Ver.pdf,61,4
Save Me,zAretha-Franklin-Book-the-Ver.pdf,27,4
See Saw,zAretha-Franklin-Book-the-Ver.pdf,41,4
Spanish Harlem,zAretha-Franklin-Book-the-Ver.pdf,58,3
The House that Jack Built,zAretha-Franklin-Book-the-Ver.pdf,31,3
Think,zAretha-Franklin-Book-the-Ver.pdf,34,4
Until You Come Back to Me (That's What I'm Gonna Do),zAretha-Franklin-Book-the-Ver.pdf,65,4
You Make Me Feel like a Natural Women,zAretha-Franklin-Book-the-Ver.pdf,15,6
You're all I need to Get By,zAretha-Franklin-Book-the-Ver.pdf,52,3
