The A Team,zSongbook-Chart-Hits-2012-2013.pdf,3,5
As Long As You Love Me,zSongbook-Chart-Hits-2012-2013.pdf,8,7
Blow Me (One Last Kiss),zSongbook-Chart-Hits-2012-2013.pdf,15,8
50 Ways to Say Goodbye,zSongbook-Chart-Hits-2012-2013.pdf,23,8
Ho Hey,zSongbook-Chart-Hits-2012-2013.pdf,31,7
Little Talks,zSongbook-Chart-Hits-2012-2013.pdf,38,11
I Knew You Were Trouble,zSongbook-Chart-Hits-2012-2013.pdf,49,6
I Won't Give Up,zSongbook-Chart-Hits-2012-2013.pdf,55,8
ItÍs Time,zSongbook-Chart-Hits-2012-2013.pdf,63,8
Live While You're Young,zSongbook-Chart-Hits-2012-2013.pdf,71,7
One More Night,zSongbook-Chart-Hits-2012-2013.pdf,78,7
Locked Out of Heaven,zSongbook-Chart-Hits-2012-2013.pdf,85,8
Skyfall,zSongbook-Chart-Hits-2012-2013.pdf,93,16
Some Nights,zSongbook-Chart-Hits-2012-2013.pdf,99,10
Too Close,zSongbook-Chart-Hits-2012-2013.pdf,109,6
We Are Never Ever Getting Back Together,zSongbook-Chart-Hits-2012-2013.pdf,115,6
