A DAY IN THE LIFE (tab),zbeatles_tabs.pdf,182,2
A HARD DAY S NIGHT (tab),zbeatles_tabs.pdf,53,1
A TASTE OF HONEY (tab),zbeatles_tabs.pdf,23,1
ACROSS THE UNIVERSE (tab) 1,zbeatles_tabs.pdf,310,3
ACROSS THE UNIVERSE (tab) 2,zbeatles_tabs.pdf,374,1
ACT NATURALLY (tab),zbeatles_tabs.pdf,103,3
ALL I VE GOT TO DO (tab),zbeatles_tabs.pdf,29,1
ALL MY LOVING (tab),zbeatles_tabs.pdf,29,1
ALL TOGETHER NOW (tab),zbeatles_tabs.pdf,265,1
ALL YOU NEED IS LOVE (tab) 1,zbeatles_tabs.pdf,201,3
ALL YOU NEED IS LOVE (tab) 2,zbeatles_tabs.pdf,267,1
AND I LOVE HER (tab),zbeatles_tabs.pdf,57,1
AND YOUR BIRD CAN SING (tab),zbeatles_tabs.pdf,159,1
ANNA (GO WITH HIM) (tab),zbeatles_tabs.pdf,12,1
ANOTHER GIRL (tab),zbeatles_tabs.pdf,99,1
ANY TIME AT ALL (tab),zbeatles_tabs.pdf,59,2
ASK ME WHY (tab),zbeatles_tabs.pdf,15,2
BABY IT S YOU (tab),zbeatles_tabs.pdf,21,1
BABY YOU RE A RICH MAN (tab),zbeatles_tabs.pdf,200,1
BABY S IN BLACK (tab),zbeatles_tabs.pdf,70,1
BACK IN THE U.S.S.R. (tab),zbeatles_tabs.pdf,204,2
BAD BOY (tab),zbeatles_tabs.pdf,357,3
BECAUSE (tab),zbeatles_tabs.pdf,279,1
BEING FOR THE BENEFIT OF MR. KITE (tab),zbeatles_tabs.pdf,175,1
BIRTHDAY (tab),zbeatles_tabs.pdf,239,2
BLACKBIRD (tab),zbeatles_tabs.pdf,217,10
BLUE JAY WAY (tab),zbeatles_tabs.pdf,188,1
BOYS (tab),zbeatles_tabs.pdf,14,1
CAN T BUY ME LOVE (tab) 1,zbeatles_tabs.pdf,59,1
CAN T BUY ME LOVE (tab) 2,zbeatles_tabs.pdf,292,1
CARRY THAT WEIGHT (tab),zbeatles_tabs.pdf,288,1
CHAINS (tab),zbeatles_tabs.pdf,13,1
COME TOGETHER (tab),zbeatles_tabs.pdf,269,1
CRY BABY CRY (tab),zbeatles_tabs.pdf,261,1
DAY TRIPPER (tab),zbeatles_tabs.pdf,365,3
DEAR PRUDENCE (tab),zbeatles_tabs.pdf,206,1
DEVIL IN HER HEART (tab),zbeatles_tabs.pdf,47,3
DIG A PONY (tab),zbeatles_tabs.pdf,306,4
DIG IT (tab),zbeatles_tabs.pdf,315,1
DIZZY MISS LIZZIE (tab),zbeatles_tabs.pdf,112,2
DO YOU WANT TO KNOW A SECRET (tab),zbeatles_tabs.pdf,21,2
DOCTOR ROBERT (tab),zbeatles_tabs.pdf,161,1
DON T BOTHER ME (tab),zbeatles_tabs.pdf,30,2
DON T LET ME DOWN (tab) 1,zbeatles_tabs.pdf,302,1
DON T LET ME DOWN (tab) 2,zbeatles_tabs.pdf,373,1
DON T PASS ME BY (tab),zbeatles_tabs.pdf,230,2
DRIVE MY CAR (tab),zbeatles_tabs.pdf,114,3
EIGHT DAYS A WEEK (tab),zbeatles_tabs.pdf,75,2
ELEANOR RIGBY (tab),zbeatles_tabs.pdf,152,1
EVERY LITTLE THING (tab),zbeatles_tabs.pdf,81,3
EVERYBODY S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY (tab),zbeatles_tabs.pdf,245,2
EVERYBODY S TRYING TO BE MY BABY (tab),zbeatles_tabs.pdf,88,5
FIXING A HOLE (tab),zbeatles_tabs.pdf,172,1
FLYING (tab),zbeatles_tabs.pdf,186,2
FOR NO ONE (tab),zbeatles_tabs.pdf,160,1
FOR YOU BLUE (tab),zbeatles_tabs.pdf,325,2
FREE AS A BIRD (FROM ANTHOLOGY 1) (tab),zbeatles_tabs.pdf,380,2
FROM ME TO YOU (tab),zbeatles_tabs.pdf,332,1
GET BACK (tab),zbeatles_tabs.pdf,327,5
GET BACK (WITH BILLY PRESTON) (tab),zbeatles_tabs.pdf,373,1
GETTING BETTER (tab),zbeatles_tabs.pdf,171,1
GIRL (tab),zbeatles_tabs.pdf,137,1
GLASS ONION (tab),zbeatles_tabs.pdf,207,1
GOLDEN SLUMBERS (tab),zbeatles_tabs.pdf,287,1
GOOD DAY SUNSHINE (tab),zbeatles_tabs.pdf,158,1
GOOD MORNING GOOD MORNING (tab),zbeatles_tabs.pdf,178,2
GOOD NIGHT (tab),zbeatles_tabs.pdf,262,1
GOT TO GET YOU INTO MY LIFE (tab),zbeatles_tabs.pdf,163,2
HAPPINESS IS A WARM GUN (tab),zbeatles_tabs.pdf,214,1
HELLO GOODBYE (tab),zbeatles_tabs.pdf,190,1
HELP (tab),zbeatles_tabs.pdf,93,1
HELTER SKELTER (tab),zbeatles_tabs.pdf,249,2
HER MAJESTY (tab),zbeatles_tabs.pdf,291,1
HERE COMES THE SUN (tab),zbeatles_tabs.pdf,279,1
HERE THERE AND EVERYWHERE (tab),zbeatles_tabs.pdf,155,1
HEY BULLDOG (tab),zbeatles_tabs.pdf,265,1
HEY JUDE 1 (tab),zbeatles_tabs.pdf,300,1
HEY JUDE 2 (tab),zbeatles_tabs.pdf,373,1
HOLD ME TIGHT (tab),zbeatles_tabs.pdf,38,8
HONEY DON T (tab),zbeatles_tabs.pdf,80,1
HONEY PIE (tab),zbeatles_tabs.pdf,257,1
I AM THE WALRUS (tab),zbeatles_tabs.pdf,189,1
I CALL YOUR NAME (tab),zbeatles_tabs.pdf,345,1
I DON T WANT TO SPOIL THE PARTY (tab),zbeatles_tabs.pdf,84,2
I FEEL FINE (tab),zbeatles_tabs.pdf,351,3
I ME MINE (tab),zbeatles_tabs.pdf,313,2
I NEED YOU (tab),zbeatles_tabs.pdf,98,1
I SAW HER STANDING THERE (tab),zbeatles_tabs.pdf,10,2
I SHOULD HAVE KNOWN BETTER (tab) 1,zbeatles_tabs.pdf,54,1
I SHOULD HAVE KNOWN BETTER (tab) 2,zbeatles_tabs.pdf,292,2
I WANT TO HOLD YOUR HAND (tab),zbeatles_tabs.pdf,337,2
I WANT TO TELL YOU (tab),zbeatles_tabs.pdf,162,1
I WANT YOU (SHE S SO HEAVY) (tab),zbeatles_tabs.pdf,276,3
I WILL (tab),zbeatles_tabs.pdf,232,1
I LL BE BACK (tab),zbeatles_tabs.pdf,67,1
I LL CRY INSTEAD (tab),zbeatles_tabs.pdf,61,1
I LL FOLLOW THE SUN (tab),zbeatles_tabs.pdf,72,1
I LL GET YOU (tab),zbeatles_tabs.pdf,336,1
I M A LOSER (tab),zbeatles_tabs.pdf,69,1
I M DOWN (tab),zbeatles_tabs.pdf,361,4
I M HAPPY JUST TO DANCE WITH YOU (tab),zbeatles_tabs.pdf,56,1
